id,pw,name,tel,right,preRight
admin,admin,Kim Jong Hoon,010-5474-5784,0,0
user1,user1,Kim Ji-kap,010-4756-5819,1,0
user2,user2,Lee Jung-seok,010-7355-7713,1,0
user3,user3,Lee Philip,010-3963-1515,1,0
user4,user4,Choi cigarette,010-1657-7477,1,0
user5,user5,Kim Java,010-1537-2714,1,0
user6,user6,Park's Shop,010-4637-7289,1,0
user7,user7,Kim Tumbler,010-0457-7278,1,0
user8,user8,Former Sharp,010-4607-5784,1,0
user9,user9,River candy,010-1476-4454,1,0
user10,user10,A notebook,010-7247-9114,1,0
user11,user11,Donald Trump,010-4578-5787,2,0
user12,user12,Lee Jae-yong,010-7849-4184,2,0
user13,user13,Kim Hung-guk,042-8282-8282,2,0
user14,user14,Kim Jong-un,010-7481-2548,2,0
user15,user15,Bill Gates,010-3541-5487,2,0
user16,user16,Jeff Beers,010-4815-7941,2,0
user17,user17,Warren Buffett,010-2415-3264,2,0
user18,user18,Mark Low Cover,010-8514-1124,2,0
user19,user19,Ronaldo,010-9774-2418,2,0
user20,user20,Mansour,010-8417-2648,2,0
parkjinq,java,parkjin,010-4548-0041,1,0
